"lme","stockid","year","catch_est","catch_type","catch_units","catch","year2"
"Labrador - Newfoundland","ACADRED2J3K",1986,"reported","TC","MT",7880,2010
"Labrador - Newfoundland","ACADRED2J3K",1987,"reported","TC","MT",6320,2010
"Labrador - Newfoundland","ACADRED2J3K",1988,"reported","TC","MT",3830,2010
"Labrador - Newfoundland","ACADRED2J3K",1989,"reported","TC","MT",1400,2010
"Labrador - Newfoundland","ACADRED2J3K",1990,"reported","TC","MT",667,2010
"Labrador - Newfoundland","ACADRED2J3K",1991,"reported","TC","MT",486,2010
"Labrador - Newfoundland","ACADRED2J3K",1992,"reported","TC","MT",99.2,2010
"Labrador - Newfoundland","ACADRED2J3K",1993,"reported","TC","MT",50.2,2010
"Labrador - Newfoundland","ACADRED2J3K",1994,"reported","TC","MT",20.2,2010
"Labrador - Newfoundland","ACADRED2J3K",1995,"reported","TC","MT",10.8,2010
"Labrador - Newfoundland","ACADRED2J3K",1996,"reported","TC","MT",0.2,2010
"Labrador - Newfoundland","ACADRED2J3K",1997,"reported","TC","MT",0.3,2010
"Labrador - Newfoundland","ACADRED2J3K",1998,"reported","TC","MT",3,2010
"Labrador - Newfoundland","ACADRED2J3K",1999,"reported","TC","MT",13.1,2010
"Labrador - Newfoundland","ACADRED2J3K",2000,"reported","TC","MT",12.5,2010
"Labrador - Newfoundland","ACADRED2J3K",2001,"reported","TC","MT",7.9,2010
"Labrador - Newfoundland","ACADRED2J3K",2002,"reported","TC","MT",6.3,2010
"Labrador - Newfoundland","ACADRED2J3K",2003,"reported","TC","MT",11.7,2010
"Labrador - Newfoundland","ACADRED2J3K",2004,"reported","TC","MT",23.7,2010
"Labrador - Newfoundland","ACADRED2J3K",2005,"reported","TC","MT",32,2010
"Labrador - Newfoundland","ACADRED2J3K",2006,"reported","TC","MT",54.7,2010
"Labrador - Newfoundland","ACADRED2J3K",2007,"reported","TC","MT",72.3,2010
"Labrador - Newfoundland","ACADRED2J3K",2008,"reported","TC","MT",56.9,2010
"Labrador - Newfoundland","ACADRED2J3K",2009,"reported","TC","MT",48.7,2010
"Labrador - Newfoundland","ACADRED2J3K",2010,"reported","TC","MT",48.7,2010
"Labrador - Newfoundland","ACADRED2J3K",2011,"extrapolated","TC","MT",48.7,2010
"Labrador - Newfoundland","ACADRED2J3K",2012,"extrapolated","TC","MT",48.7,2010
"Labrador - Newfoundland","ACADRED2J3K",2013,"extrapolated","TC","MT",48.7,2010
"Labrador - Newfoundland","ACADRED2J3K",2014,"extrapolated","TC","MT",48.7,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1960,"reported","TC","MT",36000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1961,"reported","TC","MT",37000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1962,"reported","TC","MT",34000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1963,"reported","TC","MT",43000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1964,"reported","TC","MT",44000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1965,"reported","TC","MT",59000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1966,"reported","TC","MT",64000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1967,"reported","TC","MT",83000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1968,"reported","TC","MT",65000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1969,"reported","TC","MT",91000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1970,"reported","TC","MT",83000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1971,"reported","TC","MT",100000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1972,"reported","TC","MT",89000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1973,"reported","TC","MT",100000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1974,"reported","TC","MT",67000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1975,"reported","TC","MT",72000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1976,"reported","TC","MT",52000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1977,"reported","TC","MT",38000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1978,"reported","TC","MT",32000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1979,"reported","TC","MT",39000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1980,"reported","TC","MT",40000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1981,"reported","TC","MT",44000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1982,"reported","TC","MT",41000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1983,"reported","TC","MT",34000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1984,"reported","TC","MT",42000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1985,"reported","TC","MT",41000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1986,"reported","TC","MT",49000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1987,"reported","TC","MT",92000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1988,"reported","TC","MT",86000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1989,"reported","TC","MT",58000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1990,"reported","TC","MT",60000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1991,"reported","TC","MT",62000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1992,"reported","TC","MT",69000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1993,"reported","TC","MT",59000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1994,"reported","TC","MT",28000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1995,"reported","TC","MT",10000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1996,"reported","TC","MT",14000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1997,"reported","TC","MT",10000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1998,"reported","TC","MT",18000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",1999,"reported","TC","MT",22000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2000,"reported","TC","MT",16000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2001,"reported","TC","MT",23000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2002,"reported","TC","MT",19000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2003,"reported","TC","MT",20000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2004,"reported","TC","MT",7000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2005,"reported","TC","MT",14000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2006,"reported","TC","MT",15000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2007,"reported","TC","MT",8000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2008,"reported","TC","MT",6000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2009,"reported","TC","MT",9000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2010,"reported","TC","MT",9000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2011,"extrapolated","TC","MT",9000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2012,"extrapolated","TC","MT",9000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2013,"extrapolated","TC","MT",9000,2010
"Labrador - Newfoundland","ACADRED3LNO-UT12",2014,"extrapolated","TC","MT",9000,2010
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1950,"reported","TC","MT",34300,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1951,"reported","TC","MT",30100,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1952,"reported","TC","MT",21400,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1953,"reported","TC","MT",16800,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1954,"reported","TC","MT",13000,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1955,"reported","TC","MT",13900,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1956,"reported","TC","MT",14400,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1957,"reported","TC","MT",18500,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1958,"reported","TC","MT",16000,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1959,"reported","TC","MT",15500,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1960,"reported","TC","MT",11400,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1961,"reported","TC","MT",14100,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1962,"reported","TC","MT",14100,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1963,"reported","TC","MT",10000,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1964,"reported","TC","MT",8310,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1965,"reported","TC","MT",8060,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1966,"reported","TC","MT",8570,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1967,"reported","TC","MT",10900,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1968,"reported","TC","MT",6780,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1969,"reported","TC","MT",12500,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1970,"reported","TC","MT",16700,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1971,"reported","TC","MT",20000,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1972,"reported","TC","MT",19100,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1973,"reported","TC","MT",17400,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1974,"reported","TC","MT",10500,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1975,"reported","TC","MT",10600,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1976,"reported","TC","MT",10700,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1977,"reported","TC","MT",13200,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1978,"reported","TC","MT",14100,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1979,"reported","TC","MT",14800,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1980,"reported","TC","MT",10200,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1981,"reported","TC","MT",7920,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1982,"reported","TC","MT",6900,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1983,"reported","TC","MT",5330,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1984,"reported","TC","MT",4790,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1985,"reported","TC","MT",4280,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1986,"reported","TC","MT",2930,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1987,"reported","TC","MT",1890,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1988,"reported","TC","MT",1180,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1989,"reported","TC","MT",669,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1990,"reported","TC","MT",639,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1991,"reported","TC","MT",2040,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1992,"reported","TC","MT",978,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1993,"reported","TC","MT",1050,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1994,"reported","TC","MT",546,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1995,"reported","TC","MT",631,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1996,"reported","TC","MT",689,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1997,"reported","TC","MT",432,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1998,"reported","TC","MT",586,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",1999,"reported","TC","MT",383,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2000,"reported","TC","MT",488,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2001,"reported","TC","MT",728,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2002,"reported","TC","MT",494,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2003,"reported","TC","MT",564,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2004,"reported","TC","MT",523,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2005,"reported","TC","MT",665,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2006,"reported","TC","MT",648,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2007,"reported","TC","MT",1160,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2008,"reported","TC","MT",1370,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2009,"reported","TC","MT",1670,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2010,"reported","TC","MT",1850,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2011,"reported","TC","MT",2220,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2012,"reported","TC","MT",4150,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2013,"reported","TC","MT",3970,2014
"Northeast U.S. Continental Shelf","ACADREDGOMGB",2014,"reported","TC","MT",5090,2014
"Scotian Shelf","ACADREDUT3",1960,"reported","TC","MT",20100,2010
"Scotian Shelf","ACADREDUT3",1961,"reported","TC","MT",19600,2010
"Scotian Shelf","ACADREDUT3",1962,"reported","TC","MT",24000,2010
"Scotian Shelf","ACADREDUT3",1963,"reported","TC","MT",23500,2010
"Scotian Shelf","ACADREDUT3",1964,"reported","TC","MT",10800,2010
"Scotian Shelf","ACADREDUT3",1965,"reported","TC","MT",11000,2010
"Scotian Shelf","ACADREDUT3",1966,"reported","TC","MT",25900,2010
"Scotian Shelf","ACADREDUT3",1967,"reported","TC","MT",6600,2010
"Scotian Shelf","ACADREDUT3",1968,"reported","TC","MT",2900,2010
"Scotian Shelf","ACADREDUT3",1969,"reported","TC","MT",5400,2010
"Scotian Shelf","ACADREDUT3",1970,"reported","TC","MT",15700,2010
"Scotian Shelf","ACADREDUT3",1971,"reported","TC","MT",25600,2010
"Scotian Shelf","ACADREDUT3",1972,"reported","TC","MT",24400,2010
"Scotian Shelf","ACADREDUT3",1973,"reported","TC","MT",17300,2010
"Scotian Shelf","ACADREDUT3",1974,"reported","TC","MT",14200,2010
"Scotian Shelf","ACADREDUT3",1975,"reported","TC","MT",10500,2010
"Scotian Shelf","ACADREDUT3",1976,"reported","TC","MT",7000,2010
"Scotian Shelf","ACADREDUT3",1977,"reported","TC","MT",4800,2010
"Scotian Shelf","ACADREDUT3",1978,"reported","TC","MT",3700,2010
"Scotian Shelf","ACADREDUT3",1979,"reported","TC","MT",2800,2010
"Scotian Shelf","ACADREDUT3",1980,"reported","TC","MT",4000,2010
"Scotian Shelf","ACADREDUT3",1981,"reported","TC","MT",4400,2010
"Scotian Shelf","ACADREDUT3",1982,"reported","TC","MT",4700,2010
"Scotian Shelf","ACADREDUT3",1983,"reported","TC","MT",4900,2010
"Scotian Shelf","ACADREDUT3",1984,"reported","TC","MT",5200,2010
"Scotian Shelf","ACADREDUT3",1985,"reported","TC","MT",5600,2010
"Scotian Shelf","ACADREDUT3",1986,"reported","TC","MT",6600,2010
"Scotian Shelf","ACADREDUT3",1987,"reported","TC","MT",6100,2010
"Scotian Shelf","ACADREDUT3",1988,"reported","TC","MT",3900,2010
"Scotian Shelf","ACADREDUT3",1989,"reported","TC","MT",3300,2010
"Scotian Shelf","ACADREDUT3",1990,"reported","TC","MT",2300,2010
"Scotian Shelf","ACADREDUT3",1991,"reported","TC","MT",2000,2010
"Scotian Shelf","ACADREDUT3",1992,"reported","TC","MT",2500,2010
"Scotian Shelf","ACADREDUT3",1993,"reported","TC","MT",5200,2010
"Scotian Shelf","ACADREDUT3",1994,"reported","TC","MT",5200,2010
"Scotian Shelf","ACADREDUT3",1995,"reported","TC","MT",4800,2010
"Scotian Shelf","ACADREDUT3",1996,"reported","TC","MT",4800,2010
"Scotian Shelf","ACADREDUT3",1997,"reported","TC","MT",6400,2010
"Scotian Shelf","ACADREDUT3",1998,"reported","TC","MT",5800,2010
"Scotian Shelf","ACADREDUT3",1999,"reported","TC","MT",4500,2010
"Scotian Shelf","ACADREDUT3",2000,"reported","TC","MT",4800,2010
"Scotian Shelf","ACADREDUT3",2001,"reported","TC","MT",4300,2010
"Scotian Shelf","ACADREDUT3",2002,"reported","TC","MT",4800,2010
"Scotian Shelf","ACADREDUT3",2003,"reported","TC","MT",3000,2010
"Scotian Shelf","ACADREDUT3",2004,"reported","TC","MT",2100,2010
"Scotian Shelf","ACADREDUT3",2005,"reported","TC","MT",3100,2010
"Scotian Shelf","ACADREDUT3",2006,"reported","TC","MT",2700,2010
"Scotian Shelf","ACADREDUT3",2007,"reported","TC","MT",2900,2010
"Scotian Shelf","ACADREDUT3",2008,"reported","TC","MT",3600,2010
"Scotian Shelf","ACADREDUT3",2009,"reported","TC","MT",4600,2010
"Scotian Shelf","ACADREDUT3",2010,"reported","TC","MT",5200,2010
"Scotian Shelf","ACADREDUT3",2011,"extrapolated","TC","MT",5200,2010
"Scotian Shelf","ACADREDUT3",2012,"extrapolated","TC","MT",5200,2010
"Scotian Shelf","ACADREDUT3",2013,"extrapolated","TC","MT",5200,2010
"Scotian Shelf","ACADREDUT3",2014,"extrapolated","TC","MT",5200,2010
"Patagonian Shelf","ACMACKSARG",1991,"reported","TL","MT",243,2014
"Patagonian Shelf","ACMACKSARG",1992,"reported","TL","MT",2150,2014
"Patagonian Shelf","ACMACKSARG",1993,"reported","TL","MT",4320,2014
"Patagonian Shelf","ACMACKSARG",1994,"reported","TL","MT",6040,2014
"Patagonian Shelf","ACMACKSARG",1995,"reported","TL","MT",10300,2014
"Patagonian Shelf","ACMACKSARG",1996,"reported","TL","MT",8060,2014
"Patagonian Shelf","ACMACKSARG",1997,"reported","TL","MT",8870,2014
"Patagonian Shelf","ACMACKSARG",1998,"reported","TL","MT",2880,2014
"Patagonian Shelf","ACMACKSARG",1999,"reported","TL","MT",6540,2014
"Patagonian Shelf","ACMACKSARG",2000,"reported","TL","MT",10100,2014
"Patagonian Shelf","ACMACKSARG",2001,"reported","TL","MT",3340,2014
"Patagonian Shelf","ACMACKSARG",2002,"reported","TL","MT",10300,2014
"Patagonian Shelf","ACMACKSARG",2003,"reported","TL","MT",380,2014
"Patagonian Shelf","ACMACKSARG",2004,"reported","TL","MT",1990,2014
"Patagonian Shelf","ACMACKSARG",2005,"reported","TL","MT",374,2014
"Patagonian Shelf","ACMACKSARG",2006,"reported","TL","MT",858,2014
"Patagonian Shelf","ACMACKSARG",2007,"reported","TL","MT",7890,2014
"Patagonian Shelf","ACMACKSARG",2008,"reported","TL","MT",12200,2014
"Patagonian Shelf","ACMACKSARG",2009,"reported","TL","MT",11800,2014
"Patagonian Shelf","ACMACKSARG",2010,"reported","TL","MT",25500,2014
"Patagonian Shelf","ACMACKSARG",2011,"reported","TL","MT",26600,2014
"Patagonian Shelf","ACMACKSARG",2012,"reported","TL","MT",20100,2014
"Patagonian Shelf","ACMACKSARG",2013,"reported","TL","MT",17600,2014
"Patagonian Shelf","ACMACKSARG",2014,"reported","TL","MT",6640,2014
"Humboldt Current","AFLONCH",1998,"reported","TL","MT",127,2011
"Humboldt Current","AFLONCH",1999,"reported","TL","MT",715,2011
"Humboldt Current","AFLONCH",2000,"reported","TL","MT",4380,2011
"Humboldt Current","AFLONCH",2001,"reported","TL","MT",5040,2011
"Humboldt Current","AFLONCH",2002,"reported","TL","MT",8160,2011
"Humboldt Current","AFLONCH",2003,"reported","TL","MT",9100,2011
"Humboldt Current","AFLONCH",2004,"reported","TL","MT",2820,2011
"Humboldt Current","AFLONCH",2005,"reported","TL","MT",2810,2011
"Humboldt Current","AFLONCH",2006,"reported","TL","MT",2350,2011
"Humboldt Current","AFLONCH",2007,"reported","TL","MT",2630,2011
"Humboldt Current","AFLONCH",2008,"reported","TL","MT",2600,2011
"Humboldt Current","AFLONCH",2009,"reported","TL","MT",1070,2011
"Humboldt Current","AFLONCH",2010,"reported","TL","MT",964,2011
"Humboldt Current","AFLONCH",2011,"reported","TL","MT",204,2011
"Humboldt Current","AFLONCH",2012,"extrapolated","TL","MT",204,2011
"Humboldt Current","AFLONCH",2013,"extrapolated","TL","MT",204,2011
"Humboldt Current","AFLONCH",2014,"extrapolated","TL","MT",204,2011
"Indian Ocean","ALBAIO",1950,"reported","TL","MT",8.15,2014
"Indian Ocean","ALBAIO",1951,"reported","TL","MT",18.4,2014
"Indian Ocean","ALBAIO",1952,"reported","TL","MT",80,2014
"Indian Ocean","ALBAIO",1953,"reported","TL","MT",1110,2014
"Indian Ocean","ALBAIO",1954,"reported","TL","MT",2850,2014
"Indian Ocean","ALBAIO",1955,"reported","TL","MT",3360,2014
"Indian Ocean","ALBAIO",1956,"reported","TL","MT",5630,2014
"Indian Ocean","ALBAIO",1957,"reported","TL","MT",5340,2014
"Indian Ocean","ALBAIO",1958,"reported","TL","MT",7300,2014
"Indian Ocean","ALBAIO",1959,"reported","TL","MT",11700,2014
"Indian Ocean","ALBAIO",1960,"reported","TL","MT",12100,2014
"Indian Ocean","ALBAIO",1961,"reported","TL","MT",16600,2014
"Indian Ocean","ALBAIO",1962,"reported","TL","MT",19000,2014
"Indian Ocean","ALBAIO",1963,"reported","TL","MT",14200,2014
"Indian Ocean","ALBAIO",1964,"reported","TL","MT",19400,2014
"Indian Ocean","ALBAIO",1965,"reported","TL","MT",13000,2014
"Indian Ocean","ALBAIO",1966,"reported","TL","MT",15500,2014
"Indian Ocean","ALBAIO",1967,"reported","TL","MT",21900,2014
"Indian Ocean","ALBAIO",1968,"reported","TL","MT",18300,2014
"Indian Ocean","ALBAIO",1969,"reported","TL","MT",20300,2014
"Indian Ocean","ALBAIO",1970,"reported","TL","MT",13400,2014
"Indian Ocean","ALBAIO",1971,"reported","TL","MT",12500,2014
"Indian Ocean","ALBAIO",1972,"reported","TL","MT",12000,2014
"Indian Ocean","ALBAIO",1973,"reported","TL","MT",22800,2014
"Indian Ocean","ALBAIO",1974,"reported","TL","MT",29500,2014
"Indian Ocean","ALBAIO",1975,"reported","TL","MT",11000,2014
"Indian Ocean","ALBAIO",1976,"reported","TL","MT",15000,2014
"Indian Ocean","ALBAIO",1977,"reported","TL","MT",11900,2014
"Indian Ocean","ALBAIO",1978,"reported","TL","MT",18100,2014
"Indian Ocean","ALBAIO",1979,"reported","TL","MT",18100,2014
"Indian Ocean","ALBAIO",1980,"reported","TL","MT",14000,2014
"Indian Ocean","ALBAIO",1981,"reported","TL","MT",15100,2014
"Indian Ocean","ALBAIO",1982,"reported","TL","MT",25300,2014
"Indian Ocean","ALBAIO",1983,"reported","TL","MT",20300,2014
"Indian Ocean","ALBAIO",1984,"reported","TL","MT",17800,2014
"Indian Ocean","ALBAIO",1985,"reported","TL","MT",11500,2014
"Indian Ocean","ALBAIO",1986,"reported","TL","MT",33900,2014
"Indian Ocean","ALBAIO",1987,"reported","TL","MT",31900,2014
"Indian Ocean","ALBAIO",1988,"reported","TL","MT",30500,2014
"Indian Ocean","ALBAIO",1989,"reported","TL","MT",22000,2014
"Indian Ocean","ALBAIO",1990,"reported","TL","MT",36000,2014
"Indian Ocean","ALBAIO",1991,"reported","TL","MT",30300,2014
"Indian Ocean","ALBAIO",1992,"reported","TL","MT",23000,2014
"Indian Ocean","ALBAIO",1993,"reported","TL","MT",20600,2014
"Indian Ocean","ALBAIO",1994,"reported","TL","MT",26500,2014
"Indian Ocean","ALBAIO",1995,"reported","TL","MT",25000,2014
"Indian Ocean","ALBAIO",1996,"reported","TL","MT",32300,2014
"Indian Ocean","ALBAIO",1997,"reported","TL","MT",29800,2014
"Indian Ocean","ALBAIO",1998,"reported","TL","MT",40600,2014
"Indian Ocean","ALBAIO",1999,"reported","TL","MT",40300,2014
"Indian Ocean","ALBAIO",2000,"reported","TL","MT",40200,2014
"Indian Ocean","ALBAIO",2001,"reported","TL","MT",46100,2014
"Indian Ocean","ALBAIO",2002,"reported","TL","MT",37000,2014
"Indian Ocean","ALBAIO",2003,"reported","TL","MT",28700,2014
"Indian Ocean","ALBAIO",2004,"reported","TL","MT",29800,2014
"Indian Ocean","ALBAIO",2005,"reported","TL","MT",29200,2014
"Indian Ocean","ALBAIO",2006,"reported","TL","MT",29700,2014
"Indian Ocean","ALBAIO",2007,"reported","TL","MT",38500,2014
"Indian Ocean","ALBAIO",2008,"reported","TL","MT",35800,2014
"Indian Ocean","ALBAIO",2009,"reported","TL","MT",38100,2014
"Indian Ocean","ALBAIO",2010,"reported","TL","MT",43900,2014
"Indian Ocean","ALBAIO",2011,"reported","TL","MT",33600,2014
"Indian Ocean","ALBAIO",2012,"reported","TL","MT",33400,2014
"Indian Ocean","ALBAIO",2013,"reported","TL","MT",32600,2014
"Indian Ocean","ALBAIO",2014,"reported","TL","MT",39400,2014
"Mediterranean Sea","ALBAMED",1951,"reported","TL","MT",0,2014
"Mediterranean Sea","ALBAMED",1952,"reported","TL","MT",0,2014
"Mediterranean Sea","ALBAMED",1953,"reported","TL","MT",0,2014
