"lme","stockid","year","catch_est","catch_type","catch_units","catch","year2"
"Labrador - Newfoundland","ACADRED2J3K",1960,"reported","TC","MT",33000,2010
"Labrador - Newfoundland","ACADRED2J3K",1961,"reported","TC","MT",20000,2010
"Labrador - Newfoundland","ACADRED2J3K",1962,"reported","TC","MT",9300,2010
"Labrador - Newfoundland","ACADRED2J3K",1963,"reported","TC","MT",3360,2010
"Labrador - Newfoundland","ACADRED2J3K",1964,"reported","TC","MT",5120,2010
"Labrador - Newfoundland","ACADRED2J3K",1965,"reported","TC","MT",9600,2010
"Labrador - Newfoundland","ACADRED2J3K",1966,"reported","TC","MT",7130,2010
"Labrador - Newfoundland","ACADRED2J3K",1967,"reported","TC","MT",5540,2010
"Labrador - Newfoundland","ACADRED2J3K",1968,"reported","TC","MT",4130,2010
"Labrador - Newfoundland","ACADRED2J3K",1969,"reported","TC","MT",3170,2010
"Labrador - Newfoundland","ACADRED2J3K",1970,"reported","TC","MT",4290,2010
"Labrador - Newfoundland","ACADRED2J3K",1971,"reported","TC","MT",3710,2010
"Labrador - Newfoundland","ACADRED2J3K",1972,"reported","TC","MT",3350,2010
"Labrador - Newfoundland","ACADRED2J3K",1973,"reported","TC","MT",3350,2010
"Labrador - Newfoundland","ACADRED2J3K",1974,"reported","TC","MT",6930,2010
"Labrador - Newfoundland","ACADRED2J3K",1975,"reported","TC","MT",5670,2010
"Labrador - Newfoundland","ACADRED2J3K",1976,"reported","TC","MT",4730,2010
"Labrador - Newfoundland","ACADRED2J3K",1977,"reported","TC","MT",5370,2010
"Labrador - Newfoundland","ACADRED2J3K",1978,"reported","TC","MT",4330,2010
"Labrador - Newfoundland","ACADRED2J3K",1979,"reported","TC","MT",8010,2010
"Labrador - Newfoundland","ACADRED2J3K",1980,"reported","TC","MT",8930,2010
"Labrador - Newfoundland","ACADRED2J3K",1981,"reported","TC","MT",4660,2010
"Labrador - Newfoundland","ACADRED2J3K",1982,"reported","TC","MT",5880,2010
"Labrador - Newfoundland","ACADRED2J3K",1983,"reported","TC","MT",5760,2010
"Labrador - Newfoundland","ACADRED2J3K",1984,"reported","TC","MT",4840,2010
"Labrador - Newfoundland","ACADRED2J3K",1985,"reported","TC","MT",7000,2010
