"stockid","stocklong","country","region","lme_name","areaid","area","species","comm_name","msy_source","msy_code","msy_units","msy","year","uumsy","uumsy_source","uumsy_notes"
"BTIPSHARATL","Blacktip shark Atlantic","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","USA-NMFS-ATL","Atlantic","Carcharhinus limbatus","Blacktip shark","Assessment","MSY-MT","MT",14900,2004,0.005,"Assessment","FdivFmsy-calc-dimensionless"
"BUTTERGOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-5YCHATT","Gulf of Maine / Cape Hatteras","Peprilus triacanthus","Atlantic butterfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",10368.74924,2012,0.0246913580246914,"Assessment","FdivFmsy-calc-dimensionless"
"BWHITNEA","Blue whiting Northeast Atlantic","multinational","European Union","Norwegian Sea","multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV","Northeast Atlantic","Micromesistius poutassou","Blue whiting","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1616060.277,2017,1.25625,"Assessment","FdivFmsy-calc-dimensionless"
"CABEZNCAL","Cabezon Northern California","USA","US West Coast","California Current","USA-NMFS-NCAL","Northern California","Scorpaenichthys marmoratus","Cabezon","Assessment","MSY-MT","MT",129,2008,0.222222222222222,"Assessment","ERdivERmsy-calc-dimensionless"
"CABEZORECOAST","Cabezon Oregon Coast","USA","US West Coast","California Current","USA-NMFS-ORECOAST","Oregon Coast","Scorpaenichthys marmoratus","Cabezon","Assessment","MSY-MT","MT",48,2008,0.559006211180124,"Assessment","ERdivERmsy-calc-dimensionless"
"CABEZSCAL","Cabezon Southern California","USA","US West Coast","California Current","USA-NMFS-SCAL","Southern California","Scorpaenichthys marmoratus","Cabezon","Assessment","MSY-MT","MT",30,2008,0.181818181818182,"Assessment","ERdivERmsy-calc-dimensionless"
"CALSCORPSCAL","California scorpionfish Southern California","USA","US West Coast","California Current","USA-NMFS-SCAL","Southern California","Scorpaena guttata","California scorpionfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",163.7755672,2014,0.464,"Assessment","FdivFmsy-calc-dimensionless"
"CAPEIIa-V-XIV","Capelin ICES 2a-5-14","multinational","Europe non EU",NA,"multinational-ICES-IIa-V-XIV","ICES 2a-5-14","Mallotus villosus","Capelin","Estimated from Fox or Schaefer model","MSY-est-MT","MT",801669.9902,2015,0.210060951907765,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"CAPENOR","Capelin Barents Sea","multinational","Europe non EU","Barents Sea","multinational-ICES-I","Barents Sea","Mallotus villosus","Capelin","Estimated from Fox or Schaefer model","MSY-est-MT","MT",871678.4653,2017,0,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"CHAKESA","Shallow water cape hake South Africa","South Africa","South Africa","Benguela Current","South Africa-DETMCM-SA","South Africa","Merluccius capensis","Shallow water cape hake","Assessment","MSY-MT","MT",62800,2015,0.14,"Assessment","ERdivERmsy-dimensionless"
"CHERRCHVX","Chilean herring Central-Southern Chile","Chile","South America","Humboldt Current","Chile-SUBPESCA-CH-CS","Central-Southern Chile","Strangomera bentincki","Chilean herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",823979.3127,2011,0.675915925310291,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"CHILISPCOAST","Chilipepper Southern Pacific Coast","USA","US West Coast","California Current","USA-NMFS-SPCOAST","Southern Pacific Coast","Sebastes goodei","Chilipepper","Assessment","MSY-MT","MT",2133,2014,0.1844,"Assessment","FdivFmsy-calc-dimensionless"
"CHROCKCPCOAST","China rockfish Central Pacific Coast","USA","US West Coast",NA,"USA-NMFS-CPCOAST","Central Pacific Coast","Sebastes nebulosus","China rockfish","Assessment","MSY-MT","MT",15.7,2014,0.53,"Assessment","FdivFmsy-calc-dimensionless"
"CHROCKNPCOAST","China rockfish Northern Pacific Coast","USA","US West Coast",NA,"USA-NMFS-NPCOAST","Northern Pacific Coast","Sebastes nebulosus","China rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4.803567605,2014,0.484,"Assessment","FdivFmsy-calc-dimensionless"
"CHROCKSPCOAST","China rockfish Southern Pacific Coast","USA","US West Coast",NA,"USA-NMFS-SPCOAST","Southern Pacific Coast","Sebastes nebulosus","China rockfish","Assessment","MSY-MT","MT",21.1,2014,1.044,"Assessment","FdivFmsy-calc-dimensionless"
"CHSQUIDSA","Cape Hope squid South Africa","South Africa","South Africa","Benguela Current","South Africa-DETMCM-SA","South Africa","Loligo reynaudii","Cape hope squid","Estimated from Fox or Schaefer model","MSY-est-MT","MT",6785.170679,2012,1.3978249404502,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"CHTRACCH","Chilean jack mackerel Chilean EEZ and offshore","multinational","South America","Humboldt Current","multinational-SPRFMO-CH","Chilean EEZ and offshore","Trachurus murphyi","Chilean jack mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1924146.202,2015,1.02601943846601,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"CMACKPCOAST","Pacific chub mackerel Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Scomber japonicus","Pacific chub mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",12619.11611,2008,0.390288862952376,"Assessment","ERdivERmsy-calc-dimensionless"
"CMACKPJPN","Chub mackerel Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Japan-FAJ-PJPN","Pacific Coast of Japan","Scomber japonicus","Chub mackerel","Assessment","MSY-MT","MT",355290.851,2013,0.945992432060544,"Assessment","ERdivERmsy-calc-dimensionless"
"CMACKTSST","Chub mackerel Tsushima Strait","Japan","Japan","East China Sea","Japan-FAJ-TSST","Tsushima Strait","Scomber japonicus","Chub mackerel","Assessment","MSY-MT","MT",325542.1507,2013,1.07786440852997,"Assessment","ERdivERmsy-calc-dimensionless"
"COBGM","Cobia Gulf of Mexico","USA","US Southeast and Gulf",NA,"USA-NMFS-GM","Gulf of Mexico","Rachycentron canadum","Cobia","Assessment","MSY-MT","MT",1208,2011,1.78835978835979,"Assessment","FdivFmsy-calc-dimensionless"
"COBSATLC","Cobia Southern Atlantic coast","USA","US Southeast and Gulf",NA,"USA-NMFS-SATLC","Southern Atlantic coast","Rachycentron canadum","Cobia","Assessment","MSY-MT","MT",366.502336,2011,0.422993492407809,"Assessment","FdivFmsy-calc-dimensionless"
"COD2J3KL","Atlantic cod Southern Labrador-Eastern Newfoundland","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-2J3KL","Southern Labrador-Eastern Newfoundland","Gadus morhua","Atlantic cod","Converted from other assessment values (ie Bmsy from B0)","MSY-conv-MT","MT",159440.2549,2007,0.241,"Assessment","ERdivERmsy-calc-dimensionless"
"COD3M","Atlantic cod Flemish Cap","multinational","Canada East Coast","Labrador - Newfoundland","multinational-NAFO-3M","Flemish Cap","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",23378.3564,2011,0.693025642477351,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"COD3NO","Atlantic cod Southern Grand Banks","multinational","Canada East Coast","Labrador - Newfoundland","multinational-NAFO-3NO","Southern Grand Banks","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",28973.38497,2011,0.209356418248825,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"COD3Pn4RS","Atlantic cod Northern Gulf of St. Lawrence","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-3Pn4RS","Northern Gulf of St. Lawrence","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",96606.69534,2014,0.515219548666203,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"COD3Ps","Atlantic cod St. Pierre Bank","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-3Ps","St. Pierre Bank","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",33890.47143,2014,0.230536965709939,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"COD4TVn","Atlantic cod Southern Gulf of St. Lawrence","Canada","Canada East Coast","Scotian Shelf","Canada-DFO-4T","Southern Gulf of St. Lawrence","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",62862.61967,2014,0.0426639551707055,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"COD4VsW","Atlantic cod Eastern Scotian Shelf","Canada","Canada East Coast","Scotian Shelf","Canada-DFO-4VsW","Eastern Scotian Shelf","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",45295.28305,2002,0.0235263839111264,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"COD5Zjm","Atlantic cod NAFO 5Zjm","multinational","Canada East Coast","Northeast U.S. Continental Shelf","multinational-TRAC-5Zjm","NAFO 5Zjm","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",5965.814161,2014,0.363636363636364,"Assessment","FdivFmsy-calc-dimensionless"
"CODBA2224","Atlantic cod Western Baltic","multinational","European Union","Baltic Sea","multinational-ICES-22-24","Western Baltic","Gadus morhua","Atlantic cod","Assessment","MSY-MT","MT",23000,2017,2.31153846153846,"Assessment","FdivFmsy-calc-dimensionless"
"CODBA2532","Atlantic cod Eastern Baltic","multinational","European Union","Baltic Sea","multinational-ICES-25-32","Eastern Baltic","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",323632.1781,2012,1.24333333333333,"Assessment","FdivFmgt-calc-dimensionless"
"CODFAPL","Atlantic cod Faroe Plateau","multinational","Europe non EU","Faroe Plateau","multinational-ICES-Vb1","Faroe Plateau","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",26003.89106,2016,1.91304347826087,"Assessment","FdivFmsy-calc-dimensionless"
"CODGB","Atlantic cod Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-5Z","Georges Bank","Gadus morhua","Atlantic cod","Assessment","MSY-MT","MT",28774,2011,1.28333333333333,"Assessment","FdivFmsy-calc-dimensionless"
"CODGOM","Atlantic cod Gulf of Maine","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-5Y","Gulf of Maine","Gadus morhua","Atlantic cod","Assessment","MSY-MT","MT",10043,2014,4.98395721925134,"Assessment","FdivFmgt-calc-dimensionless"
"CODICE","Atlantic cod Iceland Grounds","multinational","Europe non EU","Iceland Shelf and Sea","multinational-ICES-Va","Iceland Grounds","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",359257.5073,2013,1.5,"Assessment","FdivFmgt-calc-dimensionless"
"CODIIIaW-IV-VIId","Atlantic cod ICES 3a(west)-4-7d","multinational","European Union",NA,"multinational-ICES-IIIaW-IV-VIId","ICES 3a(west)-4-7d","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",267310.2562,2017,1.41935483870968,"Assessment","FdivFmsy-calc-dimensionless"
"CODIS","Atlantic cod Irish Sea","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIa","Irish Sea","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4091.096717,2016,0.0915857605177993,"Assessment","FdivFmsy-calc-dimensionless"
