"stockid","stocklong","country","region","lme_name","areaid","area","species","comm_name","msy_source","msy_code","msy_units","msy","year","uumsy","uumsy_source","uumsy_notes"
"AUSSALMONNZ","Australian salmon New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-NZ","New Zealand","Arripis trutta","Australian salmon","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2406.263949,2013,0.31,"Assessment","FdivFmgt-dimensionless"
"AWOLF5YZ","Atlantic wolffish Gulf of Maine / Georges Bank","USA","US East Coast",NA,"USA-NMFS-5YZ","Gulf of Maine / Georges Bank","Anarhichas lupus","Atlantic wolffish","Assessment","MSY-MT","MT",244,2014,0.0123456790123457,"Assessment","FdivFmsy-calc-dimensionless"
"BGRDRNSWWA","Blue grenadier New South Wales to Western Australia","Australia","Australia",NA,"Australia-AFMA-NSWWA","New South Wales to Western Australia","Macruronus novaezelandiae","Blue grenadier","Assessment","MSY-MT","MT",5506.026156,2017,0.0997333156848659,"Assessment","FdivFmsy-calc-dimensionless"
"BGROCKPCOAST","Blackgill rockfish Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Sebastes melanostomus","Blackgill rockfish","Assessment","MSY-MT","MT",222,2010,1.03181818181818,"Assessment","ERdivERmsy-calc-dimensionless"
"BIGEYEATL","Bigeye tuna Atlantic Ocean","multinational","Atlantic Ocean","North Atlantic Ocean","multinational-ICCAT-ATL","Atlantic Ocean","Thunnus obesus","Bigeye tuna","Estimated from Fox or Schaefer model","MSY-est-MT","MT",65286.94671,2014,1.21,"Assessment","FdivFmsy-dimensionless"
"BIGEYECWPAC","Bigeye tuna Central Western Pacific Ocean","multinational","Pacific Ocean","North Pacific Ocean","multinational-WCPFC-CWPAC","Central Western Pacific Ocean","Thunnus obesus","Bigeye tuna","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3263.427693,2015,0.626,"Assessment","FdivFmsy-dimensionless"
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","multinational","Pacific Ocean","South Pacific Ocean","multinational-IATTC-EPAC","Eastern Pacific","Thunnus obesus","Bigeye tuna","Assessment","MSY-MT","MT",106201,2016,0.831,"Assessment","FdivFmsy-dimensionless"
"BIGEYEIO","Bigeye tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Indian Ocean","Thunnus obesus","Bigeye tuna","Assessment","MSY-MT","MT",104000,2015,0.755,"Assessment","FdivFmsy-dimensionless"
"BIGHTREDSE","Bight redfish Southeast Australia","Australia","Australia","Southeast Australian Shelf","Australia-AFMA-SE","Southeast Australia","Centroberyx gerrardi","Bight redfish","Assessment","MSY-MT","MT",624.7468834,2014,0.195186650810038,"Assessment","FdivFmsy-calc-dimensionless"
"BKCDLFENI","Black cardinalfish East coast of North Island","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-ENI","East coast of North Island","Epigonus telescopus","Black cardinalfish","Assessment","MSY-MT","MT",666,2009,1.07272727272727,"Assessment","ERdivERmsy-calc-dimensionless"
