"","type","class","order","family","genus","species","species_saup","comm_name","resilience","habitat"
"59","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Helicolenus","Helicolenus dactylopterus","Helicolenus dactylopterus","Blackbelly rosefish","Low","bathydemersal"
"60","fish","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus","Hexanchus griseus","Hexanchus griseus","Bluntnose sixgill shark","Low","bathydemersal"
"61","fish","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus","Hoplostethus atlanticus","Orange roughy","Very low","bathypelagic"
"62","fish","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus mediterraneus","Hoplostethus mediterraneus mediterraneus","Mediterranean slimehead","Low","benthopelagic"
"63","fish","Actinopterygii","Perciformes","Centrolophidae","Hyperoglyphe","Hyperoglyphe antarctica","Hyperoglyphe antarctica","Bluenose warehou","Medium","benthopelagic"
"64","fish","Actinopterygii","Perciformes","Istiophoridae","Istiompax","Istiompax indica","Istiompax indica","Black marlin","Medium","pelagic-oceanic"
"65","fish","Actinopterygii","Perciformes","Istiophoridae","Istiophorus","Istiophorus albicans","Istiophorus albicans","Atlantic sailfish","Medium","pelagic-oceanic"
"66","fish","Actinopterygii","Perciformes","Istiophoridae","Istiophorus","Istiophorus platypterus","Istiophorus platypterus","Indo-Pacific sailfish","Low","pelagic-oceanic"
"67","fish","Elasmobranchii","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus","Isurus oxyrinchus","Shortfin mako","Low","pelagic-oceanic"
"68","fish","Elasmobranchii","Lamniformes","Lamnidae","Isurus","Isurus paucus","Isurus paucus","Longfin mako","Very low","pelagic-oceanic"
"69","invert","Malacostraca","Decapoda","Palinuridae","Jasus","Jasus lalandii","Jasus lalandii","Cape rock lobster",NA,"benthic"
"70","fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia","Kajikia albida","Kajikia albida","Atlantic white marlin","Medium","pelagic-oceanic"
"71","fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia","Kajikia audax","Kajikia audax","Striped marlin","Low","pelagic-oceanic"
"72","fish","Actinopterygii","Perciformes","Scombridae","Katsuwonus","Katsuwonus pelamis","Katsuwonus pelamis","Skipjack tuna","Medium","pelagic-oceanic"
"73","fish","Actinopterygii","Perciformes","Kyphosidae","Kyphosus","Kyphosus cinerascens","Kyphosus cinerascens","Blue seachub","Medium","reef-associated"
"74","fish","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna nasus","Lamna nasus","Porbeagle","Very low","pelagic-oceanic"
"75","fish","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctodes","Lampanyctodes hectoris","Lampanyctodes hectoris","Hectors lanternfish","High","pelagic-oceanic"
"76","fish","Actinopterygii","Perciformes","Leiognathidae","Leiognathus","Leiognathus equulus","Leiognathus equulus","Common ponyfish","High","demersal"
"77","fish","Actinopterygii","Perciformes","Gempylidae","Lepidocybium","Lepidocybium flavobrunneum","Lepidocybium flavobrunneum","Escolar","Low","benthopelagic"
"78","fish","Actinopterygii","Perciformes","Trichiuridae","Lepidopus","Lepidopus caudatus","Lepidopus caudatus","Silver scabbardfish","Medium","benthopelagic"
"79","fish","Actinopterygii","Perciformes","Lethrinidae","Lethrinus","Lethrinus harak","Lethrinus harak","Thumbprint emperor","Medium","reef-associated"
"80","fish","Actinopterygii","Perciformes","Lethrinidae","Lethrinus","Lethrinus lentjan","Lethrinus lentjan","Pink ear emperor","Medium","reef-associated"
"81","fish","Actinopterygii","Perciformes","Lethrinidae","Lethrinus","Lethrinus mahsena","Lethrinus mahsena","Sky emperor","Medium","reef-associated"
"82","fish","Actinopterygii","Perciformes","Lethrinidae","Lethrinus","Lethrinus nebulosus","Lethrinus nebulosus","Spangled emperor","Low","reef-associated"
"83","fish","Actinopterygii","Perciformes","Lethrinidae","Lethrinus","Lethrinus obsoletus","Lethrinus obsoletus","Orangestriped emperor","Low","reef-associated"
"84","fish","Actinopterygii","Perciformes","Lethrinidae","Lethrinus","Lethrinus rubrioperculatus","Lethrinus rubrioperculatus","Spotcheek emperor","Medium","reef-associated"
"85","fish","Actinopterygii","Perciformes","Lobotidae","Lobotes","Lobotes surinamensis","Lobotes surinamensis","Tripletail","High","benthopelagic"
"86","invert","Cephalopoda","Teuthida","Loliginidae","Loligo","Loligo vulgaris","Loligo vulgaris","European squid",NA,"benthopelagic"
"87","fish","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius vomerinus","Lophius vomerinus","Devil anglerfish","Low","bathydemersal"
"88","fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus bohar","Lutjanus bohar","Two-spot red snapper","Medium","reef-associated"
