"area_name","scientific_name","common_name","trawl_perc_rep","trawl_perc_tot","stockid"
"Agulhas Current","Carangoides coeruleopinnatus","Coastal trevally",0,0,"Agulhas Current-Carangoides coeruleopinnatus"
"Agulhas Current","Carangoides malabaricus","Malabar trevally",NA,NA,"Agulhas Current-Carangoides malabaricus"
"Agulhas Current","Caranx","Jacks",0,0,"Agulhas Current-Caranx"
"Agulhas Current","Caranx sexfasciatus","Bigeye trevally",0,0,"Agulhas Current-Caranx sexfasciatus"
"Agulhas Current","Carcharhinidae","Requiem sharks",0,0,"Agulhas Current-Carcharhinidae"
"Agulhas Current","Carcharhinus","Sharp-nosed sharks",0,0,"Agulhas Current-Carcharhinus"
"Agulhas Current","Carcharhinus amblyrhynchos","Blacktail reef shark",0,0,"Agulhas Current-Carcharhinus amblyrhynchos"
"Agulhas Current","Carcharhinus brachyurus","Copper shark",0,0,"Agulhas Current-Carcharhinus brachyurus"
"Agulhas Current","Carcharhinus falciformis","Silky shark",0,0,"Agulhas Current-Carcharhinus falciformis"
"Agulhas Current","Carcharhinus limbatus","Blacktip shark",0,0,"Agulhas Current-Carcharhinus limbatus"
"Agulhas Current","Carcharhinus longimanus","Oceanic whitetip shark",0,0,"Agulhas Current-Carcharhinus longimanus"
"Agulhas Current","Carcharhinus melanopterus","Blacktip reef shark",NA,NA,"Agulhas Current-Carcharhinus melanopterus"
"Agulhas Current","Carcharhinus obscurus","Dusky shark",0,0,"Agulhas Current-Carcharhinus obscurus"
"Agulhas Current","Carcharhinus plumbeus","Sandbar shark",0,0,"Agulhas Current-Carcharhinus plumbeus"
"Agulhas Current","Centrolophidae","Medusafishes",50,50,"Agulhas Current-Centrolophidae"
"Agulhas Current","Centrophorus granulosus","Gulper shark",0,0,"Agulhas Current-Centrophorus granulosus"
"Agulhas Current","Cephalopholis","Hinds",NA,NA,"Agulhas Current-Cephalopholis"
"Agulhas Current","Cephalopoda","Squids, cuttlefishes, octopuses",2.85669230473602,2.85669230473602,"Agulhas Current-Cephalopoda"
"Agulhas Current","Chaceon maritae","West African geryon",0,0,"Agulhas Current-Chaceon maritae"
"Agulhas Current","Chaetodontidae","Butterflyfishes",0,0,"Agulhas Current-Chaetodontidae"
"Agulhas Current","Chanos chanos","Milkfish",0,0,"Agulhas Current-Chanos chanos"
"Agulhas Current","Cheimerius nufar","Santer seabream",0,0,"Agulhas Current-Cheimerius nufar"
"Agulhas Current","Chelidonichthys capensis","Cape gurnard",0,0,"Agulhas Current-Chelidonichthys capensis"
"Agulhas Current","Chirocentrus","Wolf herrings",0,0,"Agulhas Current-Chirocentrus"
"Agulhas Current","Chirocentrus dorab","Dorab wolfherring",0,0,"Agulhas Current-Chirocentrus dorab"
"Agulhas Current","Chirocentrus nudus","Whitefin wolf-herring",0,0,"Agulhas Current-Chirocentrus nudus"
"Agulhas Current","Chondrichthyes","Sharks, rays, chimaeras",50,50,"Agulhas Current-Chondrichthyes"
